"ID","Longitude","Latitude","Z","Grid_centroid_ID"
2357,18073159,59325084,12.600000,
2358,18073386,59325085,12.200000,
7274,18067941,59324243,4.400000,
7275,18067382,59324005,3.790000,
7276,18069778,59323092,3.140000,
7277,18070284,59322775,2.600000,
7278,18068137,59327185,5.920000,
7280,18072278,59327961,4.650000,
7281,18072101,59327878,4.970000,
16819,18073534,59323437,10.900000,
16820,18073711,59323413,6.460000,
26269,18073934,59325255,7.530000,
26270,18073954,59325030,7.220000,
26271,18073958,59324505,6.830000,
26272,18073912,59324328,6.790000,
26273,18070454,59324878,14.100000,
26274,18069961,59324745,10.300000,
35466,18075542,59325001,2.890000,
35467,18072238,59323029,6.820000,
35468,18071592,59322693,3.100000,
35471,18071076,59324002,9.900000,
35472,18070909,59323926,8.560000,
35473,18065709,59326703,3.700000,
35474,18065423,59326667,4.230000,
35475,18072840,59325090,13.000000,
35476,18072600,59325092,13.200000,
35477,18075247,59323275,2.530000,
35478,18075309,59323281,2.550000,
35479,18073022,59324891,14.000000,
35480,18072928,59324098,15.700000,
35481,18075538,59324351,2.710000,
35482,18075664,59324394,2.580000,
35483,18075712,59323256,2.180000,
35484,18075249,59322452,2.200000,
35706,18073131,59328069,3.900000,
44444,18068160,59324878,5.740000,
44445,18067398,59324592,4.250000,
44446,18072907,59327863,4.020000,
44447,18072859,59328040,3.910000,
44448,18073417,59326186,8.030000,
44449,18073741,59325846,7.210000,
44450,18071524,59322477,2.660000,
44451,18072352,59322065,4.240000,
44452,18074448,59322395,2.520000,
44453,18074381,59322409,2.410000,
44454,18074568,59322599,2.310000,
44455,18073454,59322848,5.830000,
44456,18066738,59324232,2.910000,
44457,18066956,59323816,2.930000,
44667,18075522,59324747,2.680000,
44668,18075475,59324579,2.640000,
44669,18075337,59324162,2.350000,
44670,18075261,59323931,2.280000,
53130,18073324,59324089,15.900000,
53131,18069590,59323976,4.870000,
53132,18070215,59323598,4.780000,
53133,18067777,59325115,5.760000,
53134,18067965,59325001,5.910000,
53135,18075176,59323670,2.370000,
53136,18073693,59323708,6.840000,
53137,18074148,59326526,5.450000,
53138,18074341,59326577,4.710000,
53139,18070890,59327501,7.620000,
53140,18066544,59325022,3.780000,
53141,18067103,59324771,4.250000,
53142,18071093,59325822,15.700000,
53143,18071195,59325416,15.500000,
61498,18073280,59323486,12.400000,
61499,18072721,59323164,13.300000,
61500,18074857,59322859,2.460000,
61501,18074822,59322865,2.410000,
61502,18073485,59323461,11.100000,
61696,18075090,59323404,2.490000,
61704,18066572,59324222,2.880000,
69585,18074595,59324006,2.510000,
69586,18073833,59324179,7.030000,
69587,18068286,59323407,2.800000,
69588,18068854,59322995,1.850000,
69589,18075546,59325591,2.880000,
69590,18075622,59325284,2.920000,
69591,18068864,59323661,3.820000,
69592,18069489,59323278,3.520000,
69593,18069135,59322817,1.880000,
69594,18071069,59324977,15.100000,
69595,18071776,59324328,13.700000,
69596,18074017,59322090,2.790000,
69597,18073013,59322329,5.320000,
69598,18073939,59325602,7.700000,
69599,18073930,59325540,7.700000,
69600,18072087,59325104,13.600000,
69601,18072122,59325412,14.100000,
77439,18075205,59325833,3.030000,
77440,18069684,59325835,14.000000,
77441,18069112,59325754,11.300000,
77442,18068603,59326724,6.480000,
77443,18066912,59325881,5.630000,
77444,18066684,59325788,5.500000,
77445,18068917,59325520,9.620000,
77446,18067433,59325323,5.490000,
77447,18071283,59324113,12.000000,
77448,18073159,59325393,14.800000,
77449,18065580,59326489,3.890000,
77450,18073187,59322652,5.620000,
77632,18072820,59328079,3.800000,
84832,18069151,59325226,9.030000,
84833,18069249,59325122,8.850000,
84834,18075682,59324735,2.840000,
84835,18075628,59324568,2.770000,
84836,18069580,59325110,12.800000,
84837,18069785,59324900,11.700000,
84838,18067881,59326399,5.710000,
84839,18067255,59326075,5.400000,
84840,18065358,59326598,4.030000,
84841,18064573,59326227,2.870000,
84842,18073689,59321757,4.990000,
84843,18073840,59321683,5.330000,
84844,18071539,59322522,2.700000,
84845,18073617,59325127,11.300000,
84846,18068737,59326556,7.120000,
84847,18072600,59325403,13.700000,
84848,18074851,59322588,2.600000,
84849,18074328,59322050,2.900000,
84850,18071973,59323231,7.310000,
84851,18071197,59322930,3.490000,
84852,18072405,59322177,3.910000,
84853,18072666,59321956,5.220000,
85034,18072848,59327851,3.990000,
85035,18072834,59327904,4.020000,
85036,18074583,59326409,4.150000,
85037,18074909,59326140,3.480000,
92081,18073080,59322445,5.690000,
92082,18068733,59326282,8.080000,
92083,18068847,59325724,9.940000,
92084,18075404,59324367,2.550000,
92085,18069028,59324333,5.320000,
92086,18068308,59324008,4.280000,
92087,18068057,59324944,5.740000,
92209,18072550,59321708,6.390000,
92263,18070628,59322564,2.170000,
92264,18074199,59321919,3.470000,
92265,18074961,59322551,2.460000,
99064,18069441,59325256,13.300000,
99065,18073913,59325404,8.060000,
99066,18070337,59325054,15.000000,
99067,18070369,59325012,14.800000,
99068,18070034,59325428,16.000000,
99069,18074600,59322592,2.380000,
99070,18069761,59322572,2.020000,
99071,18068932,59324807,6.660000,
99072,18068521,59324652,5.470000,
99239,18074225,59322250,2.570000,
99240,18073835,59321905,3.940000,
99241,18065309,59326619,4.080000,
104920,18068844,59324875,6.870000,
104945,18075519,59325181,2.880000,
104946,18075500,59325290,2.810000,
104947,18075471,59324146,2.610000,
104948,18074090,59322071,2.990000,
104949,18073924,59321911,3.810000,
104950,18072649,59322848,6.200000,
104951,18072839,59322780,5.990000,
104952,18066042,59325481,5.120000,
104953,18069035,59325359,9.210000,
104954,18069085,59325299,9.140000,
105078,18073881,59321793,4.540000,
105079,18072812,59321752,2.980000,
110149,18072326,59324030,14.900000,
110150,18070012,59324428,7.150000,
110151,18069335,59324142,5.110000,
110152,18072867,59322063,4.770000,
110153,18068637,59325058,6.830000,
110241,18072641,59321856,5.610000,
115148,18075391,59323916,2.450000,
115149,18075286,59323665,2.510000,
115150,18068682,59324548,5.420000,
115151,18072859,59328078,3.870000,
115152,18074733,59326437,4.220000,
115153,18075065,59326179,3.560000,
115259,18075433,59325582,2.660000,
119975,18075647,59325175,2.960000,
119978,18069512,59324843,7.970000,
119979,18069710,59324660,7.920000,
119980,18073094,59327969,3.950000,
119981,18074499,59326619,4.490000,
119982,18072428,59326131,14.300000,
119983,18071229,59325171,15.100000,
119984,18071239,59325100,14.900000,
124640,18073973,59324646,7.140000,
124641,18075133,59323263,2.730000,
124642,18075715,59324412,2.540000,
129134,18075361,59325862,3.070000,
133466,18070531,59323407,4.470000,
133467,18070195,59325241,15.600000,
133468,18066982,59324663,3.690000,
133469,18066781,59324691,3.280000,
133470,18072835,59323145,13.000000,
133471,18073619,59323071,7.030000,
133472,18073953,59324807,7.410000,
137685,18069811,59324570,7.680000,
137686,18067183,59324523,4.100000,
137787,18072815,59328044,3.890000,
141670,18072888,59323677,13.900000,
141671,18073535,59323593,9.880000,
145355,18071011,59323037,3.780000,
145356,18068330,59324773,5.570000,
145357,18068427,59324709,5.570000,
145358,18069120,59324274,5.230000,
145359,18074302,59326358,4.950000,
148991,18069404,59324956,8.360000,
148992,18067145,59326143,4.960000,
149068,18065473,59326557,3.960000,
149069,18065732,59326739,3.590000,
152559,18067749,59323758,3.590000,
152560,18072762,59326221,13.300000,
152561,18074278,59322240,2.800000,
155181,18075191,59323404,2.700000,
155182,18068770,59324943,6.950000,
155183,18069929,59325897,14.700000,
155184,18069346,59326673,6.870000,
155232,18072441,59321884,5.540000,
157520,18073042,59328072,3.820000,
157521,18072992,59328331,0.800000,
157522,18074567,59321987,2.450000,
159841,18075820,59325214,2.790000,
161917,18073052,59325088,12.700000,
161951,18070237,59322429,1.830000,
161952,18066859,59323786,3.090000,
163951,18075682,59324998,3.000000,
163953,18067233,59323555,2.790000,
163954,18070562,59322543,2.150000,
165901,18072979,59326086,9.540000,
165902,18065997,59326730,3.370000,
167685,18072612,59325502,15.200000,
169424,18067088,59323874,2.990000,
171090,18073756,59324028,7.090000,
172720,18069307,59325052,8.640000,
172756,18072345,59321830,5.860000,
174282,18073870,59326842,4.380000,
179931,18068967,59325453,9.420000,
180934,18072388,59322403,3.740000,
180935,18068036,59326827,2.930000,
182808,18072885,59325344,13.900000,
183726,18069007,59326349,12.300000,
184625,18067428,59323626,2.910000,
186302,18067078,59324453,3.910000,
192894,18069097,59323565,,5496
192966,18073687,59325703,,5568
192971,18069300,59325807,,5573
193080,18073485,59323462,,5682
